surface,n_bhk,sa1,pool,sa9,sa7,sa2,sa5,price
-1.0899166100494777,1.0,0,1,0,0,1,0,3.9
-0.33161662287089544,2.0,0,1,0,0,1,0,6.5
-0.022380812496650904,3.0,0,1,0,0,1,0,7.4
0.3245010965318495,3.0,0,1,0,0,1,0,8.9
-0.41497584131960485,2.0,0,1,0,0,0,0,7.4
0.2088737935223494,3.0,0,1,0,0,0,0,9.5
-0.007591273739621815,2.0,0,1,0,0,0,0,7.5
0.7453306993454953,3.0,0,1,0,0,0,0,10.0
0.020643300251070078,2.0,0,1,0,0,0,0,6.5
0.6122248505322336,3.0,0,1,0,0,0,0,8.8
2.007819507786433,4.0,0,1,0,0,0,0,13.5
3.5566875667043885,5.0,0,1,0,0,0,0,18.8
3.5566875667043885,6.0,0,1,0,0,0,0,18.8
-0.38674126732891295,2.0,1,1,0,0,0,0,5.800000000000001
0.413238329074024,3.0,1,1,0,0,0,0,9.5
-1.2754580962740245,1.0,0,1,0,0,0,0,4.0
-0.6247183909647447,2.0,0,1,0,0,0,0,5.800000000000001
-0.050615386487342796,3.0,0,1,0,0,0,0,7.800000000000001
-1.1705868214514545,1.0,0,1,0,0,0,0,3.6
-0.6220293839180121,2.0,0,1,0,0,0,0,4.800000000000001
-0.39615279199247694,2.0,0,1,0,0,0,0,5.7
0.3567691810926403,3.0,0,1,0,0,0,0,7.9
-1.2136109341991757,1.0,0,0,0,1,0,0,3.7
-0.2724584678427791,2.0,0,0,0,1,0,0,5.7
-0.14876414369308127,2.0,0,0,0,1,0,0,5.9
-0.08691698161823237,2.0,0,0,0,1,0,0,6.1000000000000005
0.012576279110872396,2.0,0,0,0,1,0,0,6.300000000000001
0.6902060548874779,2.0,0,0,0,1,0,0,7.9
-0.06809393229110444,3.0,0,0,0,1,0,0,6.1000000000000005
0.09862450460631436,3.0,0,0,0,1,0,0,6.5
0.5127315898031288,3.0,0,0,0,1,0,0,7.300000000000001
0.5692007377845126,3.0,0,0,0,1,0,0,7.6
0.7144071183080709,3.0,0,0,0,1,0,0,8.0
1.4027929222716067,3.0,0,0,0,1,0,0,9.6
1.5802673873559556,3.0,0,0,0,1,0,0,10.0
-0.5736272570768259,2.0,0,1,0,0,0,0,7.0
0.2492088992233378,3.0,0,1,0,0,0,0,9.0
-0.04120386182377883,2.0,0,1,0,0,0,0,9.7
0.5530666955041172,3.0,0,1,0,0,0,0,12.0
-0.9527772506661172,1.0,0,1,0,0,0,0,4.2
0.17660570896155864,2.0,0,1,0,0,0,0,5.7
-1.5524258220874783,1.0,0,1,0,0,0,0,1.4
-1.1410077439373965,2.0,0,1,0,0,0,0,2.2
-0.8505949828902798,3.0,0,1,0,0,0,0,2.6
-0.2885925101231745,2.0,0,1,0,0,0,0,8.0
-0.20792229872119763,2.0,0,1,0,0,0,0,8.3
0.24651989217660525,3.0,0,1,0,0,0,0,10.1
0.2841659908308611,3.0,0,1,0,0,0,0,10.3
0.7654982521959895,3.0,0,1,0,0,0,0,12.8
1.8330340497488165,5.0,0,1,0,0,0,0,16.3
-1.0926056170962104,1.0,0,0,0,0,0,0,3.9
-0.6408524332451401,2.0,0,0,0,0,0,0,5.1000000000000005
-0.44455491883366305,2.0,0,0,0,0,0,0,6.0
-0.2375013762352558,3.0,0,0,0,0,0,0,6.6000000000000005
-1.1759648355449197,1.0,0,1,0,0,0,0,4.55
-0.43917690474019794,2.0,0,1,0,0,0,0,7.25
